architecture,scenario,round,request_count,average_ms,p95_ms,throughput_requests_per_second,successful_request_count,successful_throughput_requests_per_second,error_rate_percent,cpu_average_percent,cpu_max_percent,memory_average_mib,memory_max_mib
monolith,course-list,1,1199,17.793,20.542,9.914,1199,9.914,0,18.393,26.71,759.502,763.91
monolith,course-list,2,1199,17.125,19.995,9.911,1199,9.911,0,17.26,25.57,764.824,770.39
monolith,course-list,3,1199,16.395,19.918,9.913,1199,9.913,0,15.831,21,799.977,802.27
monolith,homework-submission,1,1199,15.925,19.273,9.913,1199,9.913,0,16.313,24.83,813.604,815.68
monolith,homework-submission,2,1199,14.682,19.107,9.916,1199,9.916,0,14.602,23.53,820.126,821.45
monolith,homework-submission,3,1199,14.967,17.63,9.916,1199,9.916,0,14.053,17.09,824.086,835.11
monolith,my-grades,1,1199,10.912,13.391,9.914,1199,9.914,0,10.459,13.57,825.54,826.71
monolith,my-grades,2,1199,10.706,13.02,9.913,1199,9.913,0,10.509,13.29,827.572,828.49
monolith,my-grades,3,1199,10.165,12.621,9.914,1199,9.914,0,10.103,16.23,829.156,833
three-service,course-list,1,1199,28.46,33.403,9.914,1199,9.914,0,38.465,57.31,1826.392,1905.634
three-service,course-list,2,1199,28.137,33.347,9.914,1199,9.914,0,35.372,57.45,1850.371,1924.514
three-service,course-list,3,1199,27.866,32.802,9.914,1199,9.914,0,34.554,53.07,1898.738,1966.01
three-service,homework-submission,1,1199,11.337,18.065,9.915,1199,9.915,0,30.07,45.02,1965.233,2032.464
three-service,homework-submission,2,1199,11.013,16.854,9.914,1199,9.914,0,26.581,43.7,1976.182,2043.206
three-service,homework-submission,3,1199,10.875,16.109,9.916,1199,9.916,0,26.287,42.31,1991.119,2052.107
three-service,my-grades,1,1199,11.707,18.664,9.915,1199,9.915,0,30.521,48.12,2009.719,2082.144
three-service,my-grades,2,1199,10.569,17.032,9.915,1199,9.915,0,28.444,42.93,2063.884,2123.246
three-service,my-grades,3,1199,10.374,16.347,9.915,1199,9.915,0,28.601,44.81,2067.854,2124.626
